Taxa	Variant_Category	Variant_Pattern	Radlkofer_section	Last_classification	This_study
Serjania_flaviflora	Typical	Typical	Physococcus	Physococcus	Serjania III
Serjania_fluminensis_a	Procambial	Compound	Unplaced	Unplaced	Serjania II
Serjania_foveata	Typical	Typical	Platycoccus	Platycoccus	Serjania I
Serjania_fuscifolia	Procambial	Compound	Simococcus	Serjania	Serjania II
Serjania_glutinosa	Typical	Typical	Eurycoccus	Unplaced	Serjania V
Serjania_grammatophora	Typical	Typical	Phacococcus	Serjania	Serjania I
Serjania_hatschbachii	Procambial	Compound	Unplaced	Platycoccus	Serjania VI
Serjania_impressa	Procambial	Compound	Syncoccus	Serjania	Serjania II
Serjania_inebrians	Procambial	Compound	NA	NA	Serjania III
Serjania_inflata	Procambial	Compound	Physococcus	Physococcus	Serjania I
Serjania_inscripta	Procambial	Compound	Platycoccus	Confertiflora	Serjania II
Serjania_insignis	Procambial	Compound	Syncoccus	Serjania	Serjania III
Serjania_lancistipula	Procambial	Divided	Unplaced	Unplaced	Serjania V
Serjania_laruotteana	Procambial	Compound	Eucoccus	Platycoccus	Serjania I
Serjania_lateritia	Typical	Typical	Eurycoccus	Eurycoccus	Serjania III
Serjania_laxiflora	Typical	Typical	Eurycoccus	Eurycoccus	Serjania V
Serjania_leptocarpa	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
Serjania_longistipula	Procambial	Compound	Physococcus	Physococcus	Serjania IV
Serjania_mansiana_a	Typical	Typical	Syncoccus	Serjania	Serjania VII
Serjania_marginata_a	Procambial	Compound	Eucoccus	Serjania	Serjania I
Serjania_membranacea	Typical	Typical	Holcococcus	Serjania	Serjania III
Serjania_meridionalis_a	Ectopic-cambia	Ectopic-cambia	Syncoccus	Serjania	Serjania I
Serjania_mexicana_a	Cambial+Ectopic-cambia	Phloem-wedges+Ectopic-cambia	Phacococcus	Serjania	Serjania I
Serjania_mollis_a	Procambial	Compound	Ceratococcus	Ceratococcus	Serjania III
Serjania_monogyna	Procambial	Compound	Unplaced	Unplaced	Serjania II
Serjania_noxia	Procambial	Compound	Syncoccus	Serjania	Serjania II
