Taxa	Variant_Category	Variant_Pattern	Habit	Tendrils	Radlkofer_section	Last_classification	This_study
Paullinia_killipii	Cambial	Lobed+Phloem-wedges	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_latifolia	Cambial	Phloem-wedges	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_leiocarpa_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_lingulata	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_livescens	Typical	Typical	Liana	Present	Anisoptilon	Anisoptilon	Paullinia IV/V
Paullinia_macrocarpa_a	Cambial	Lobed	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_macrophylla	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_meliifolia	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_micrantha_a	Ectopic-cambia	Ectopic-cambia	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_neglecta_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_nobilis	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_obovata	Cambial	Lobed	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_olivacea_a	Typical	Typical	Liana	Present	Pachytoechus	Pachytoechus	Paullinia IV/V
Paullinia_paullinioides	Typical	Typical	Liana	Present	Castanella	Castanella	Paullinia I
Paullinia_pinnata_a	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_plagioptera	Typical	Typical	Liana	Present	Neuroptilon	Neuroptilon	Paullinia IV/V
Paullinia_platymisca_a	Typical	Typical	Liana	Present	Pachytoechus	Pachytoechus	Paullinia I
Paullinia_prevostiana_a	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_pseudota	Ectopic-cambia	Ectopic-cambia	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_reticulata_a	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia I
Paullinia_revoluta	Typical	Typical	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_rhomboidea	Typical	Typical	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_rubiginosa_a	Cambial	Lobed+Phloem-wedges	Liana	Present	Diphtherotoechus	Diphtherotoechus	Paullinia IV/V
Paullinia_rugosa_a	Cambial	Phloem-wedges	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_selenoptera_a	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_serjaniifolia_a	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_setosa_a	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_simulans_a	Cambial	Phloem-wedges	Liana	Present	Unplaced	Unplaced	Paullinia VII
Paullinia_sp._b	Typical	Typical	Liana	Present	NA	NA	NA
Paullinia_sp._d	Cambial	Phloem-wedges	Liana	Present	NA	NA	Paullinia VII
Paullinia_spicata	Procambial	Compound	Liana	Present	Neurotoechus	Neurotoechus	Paullinia VII
Paullinia_stellata	Cambial	Lobed+Phloem-wedges	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia IV/V
Paullinia_stenopetala	Typical	Typical	Liana	Present	Diphtherotoechus	Diphtherotoechus	Paullinia IV/V
Paullinia_stipularis	Cambial	Lobed	Liana	Present	Diphtherotoechus	Diphtherotoechus	Paullinia IV/V
Paullinia_tetragona	Typical	Typical	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_tomentosa	Typical	Typical	Liana	Present	Pleurotoechus	Pleurotoechus	Paullinia III
Paullinia_tricornis	Typical	Typical	Liana	Present	Xyloptilon	Xyloptilon	Paullinia IV/V
Paullinia_trigonia	Ectopic-cambia	Ectopic-cambia	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_trilatera	Procambial	Compound	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_trisulca_a	Cambial	Lobed	Liana	Present	Caloptilon	Caloptilon	Paullinia VI
Paullinia_turbacensis	Cambial	Phloem-wedges	Liana	Present	Xyloptilon	Xyloptilon	Paullinia VII
Paullinia_unifoliolata	Typical	Typical	Liana	Present	Unplaced	Unplaced	Paullinia IV/V
Paullinia_venezuelana	Typical	Typical	Liana	Present	Xyloptilon	Xyloptilon	Paullinia IV/V
Paullinia_verecunda_a	Cambial	Lobed	Liana	Present	Unplaced	Unplaced	Paullinia VI
Paullinia_vespertilio_a	Typical	Typical	Liana	Present	Neuroptilon	Neuroptilon	Paullinia IV/V
Paullinia_weinmanniifolia_a	Ectopic-cambia	Ectopic-cambia	Liana	Present	Phygoptilon	Phygoptilon	Paullinia III
Paullinia_xestophylla_a	Typical	Typical	Liana	Present	Pachytoechus	Pachytoechus	Paullinia I
Serjania_acuta	Typical	Typical	Liana	Present	Physococcus	Physococcus	Serjania I
Serjania_acutidentata	Procambial	Compound	Liana	Present	Oococcus	Serjania	Serjania I
Serjania_adenophylla	Procambial	Compound	Liana	Present	Unplaced	Unplaced	Serjania III
Serjania_altissima	Cambial	Phloem-wedges	Liana	Present	Eurycoccus	Eurycoccus	Serjania III
